Ticker,Daily Return,Beta,Annual Volatility,Agglomerative Cluster,KMeans Cluster,KMeans Cluster Label
A,-1.5772895750155086e-06,1.0248008744778216,0.2962588905758548,0,2,Balanced / Moderate Risk
AAPL,0.0005911302330766536,1.2106889770888518,0.2709351196017899,0,2,Balanced / Moderate Risk
ABBV,0.0006099180864918194,0.2990978845319059,0.21995782763077132,0,0,Defensive / Lower Risk
ABNB,7.360613968760487e-05,1.6662563146251141,0.4678751338978284,1,2,Balanced / Moderate Risk
ABT,-0.00010574504054548336,0.6723168596039903,0.21783916982893875,0,0,Defensive / Lower Risk
ACGL,0.0011646495347312185,0.5697889686750048,0.2539970394703867,0,0,Defensive / Lower Risk
ACN,1.0631572669552157e-05,1.09420750720408,0.2703312875668762,0,2,Balanced / Moderate Risk
ADBE,-2.165843214604344e-05,1.4479742795178576,0.38308278265182505,1,2,Balanced / Moderate Risk
ADI,0.0005141876180020732,1.3399293051593633,0.3180580631396342,1,2,Balanced / Moderate Risk
ADM,-0.0001105318790278951,0.5511995103276691,0.29404335111631485,0,0,Defensive / Lower Risk
ADP,0.0004234822257763153,0.8271981028932561,0.22121254090590564,0,0,Defensive / Lower Risk
ADSK,0.00031780454532890246,1.5586651097640762,0.3647118157717394,1,2,Balanced / Moderate Risk
AEE,0.00021286407778787318,0.42049121286390617,0.20459659258442767,0,0,Defensive / Lower Risk
AEP,0.00029180946686288583,0.4252646187778828,0.2100287500566155,0,0,Defensive / Lower Risk
AES,-0.00046189715831813737,1.0158959105134069,0.35744544218550095,0,2,Balanced / Moderate Risk
AFL,0.0009478863586771856,0.6077796020077801,0.21400310785990762,0,0,Defensive / Lower Risk
AIG,0.000550114305930279,0.9056794394687446,0.26845998843168495,0,0,Defensive / Lower Risk
AIZ,0.000616448416777327,0.5870541166947857,0.257664328200821,0,0,Defensive / Lower Risk
AJG,0.0008396432415719652,0.7067308781995372,0.21336877003713273,0,0,Defensive / Lower Risk
AKAM,-0.0001153668427087921,0.7862351632977633,0.2805672887264232,0,0,Defensive / Lower Risk
ALB,-0.0007304871923227732,1.5255877108321887,0.534911367547115,1,2,Balanced / Moderate Risk
ALGN,-0.0009658993072122063,1.6705279919693208,0.5204274920686686,1,2,Balanced / Moderate Risk
ALL,0.0008884255264403479,0.545191808509715,0.26043303405311596,0,0,Defensive / Lower Risk
ALLE,0.00021458980880367855,0.9835716422506217,0.26530245825713183,0,0,Defensive / Lower Risk
AMAT,0.0004231013117874242,1.792212166718914,0.42912677924298315,1,2,Balanced / Moderate Risk
AMCR,-1.082127900268719e-05,0.7637367256896263,0.2398991062972515,0,0,Defensive / Lower Risk
AMD,0.00025448316890890396,2.06474872380768,0.5241874738860685,1,1,Aggressive / Higher Risk
AME,0.0004210200777794288,0.8291260551739005,0.21642246245548116,0,0,Defensive / Lower Risk
AMGN,0.0004146594092163734,0.4271303397683687,0.22844591625717028,0,0,Defensive / Lower Risk
AMP,0.0009622251406782349,1.1837667564860421,0.280278962252997,0,0,Defensive / Lower Risk
AMT,-0.0003147754103646626,0.7058121455514099,0.27927145055395475,0,0,Defensive / Lower Risk
AMZN,0.0006272646500942056,1.606885068407935,0.38332137569924385,1,2,Balanced / Moderate Risk
ANET,0.0018756940642556108,1.524891122545982,0.4317547917391169,1,1,Aggressive / Higher Risk
AON,0.000403322967985311,0.7155116425305525,0.22702843660626484,0,0,Defensive / Lower Risk
AOS,-4.6598226926145074e-05,0.9244504424742925,0.27867319128378476,0,2,Balanced / Moderate Risk
APA,0.00025218798529654375,0.9718476697440276,0.45460658275523913,0,2,Balanced / Moderate Risk
APD,0.00021604469919018408,0.7290669387431052,0.27188523847908147,0,0,Defensive / Lower Risk
APH,0.0007972856507773226,1.1474247250967085,0.2534209402725377,0,0,Defensive / Lower Risk
APO,0.0014596106210944483,1.42642201123004,0.3621209012377206,1,1,Aggressive / Higher Risk
APP,0.0028019792920536807,2.2619330004579874,0.7883744779749065,2,1,Aggressive / Higher Risk
APTV,-0.0009912094899789088,1.496813853207838,0.4186534891103111,1,2,Balanced / Moderate Risk
ARE,-0.0007332967799129092,0.9942725579037329,0.3075150869885054,0,2,Balanced / Moderate Risk
ARES,0.0014415792497568295,1.4810724677785008,0.35240875199398664,1,1,Aggressive / Higher Risk
ATO,0.0005518146683121787,0.46872150919214745,0.1931737734783316,0,0,Defensive / Lower Risk
AVB,5.707248475199924e-05,0.7267103252291983,0.22915099264047764,0,0,Defensive / Lower Risk
AVGO,0.002100918031395404,1.5619831104821473,0.4223882980926299,1,1,Aggressive / Higher Risk
AVY,3.369770124487224e-05,0.9393390852363384,0.25215976246614447,0,0,Defensive / Lower Risk
AWK,-0.0003366277335406794,0.636069305429874,0.2299497552746808,0,0,Defensive / Lower Risk
AXON,0.0021975481232815153,1.2175407614179663,0.45073840414402955,1,1,Aggressive / Higher Risk
AXP,0.000974106797608164,1.1213713567124661,0.289949379602609,0,0,Defensive / Lower Risk
AZO,0.000713061114352323,0.557121451594074,0.24207092019087154,0,0,Defensive / Lower Risk
BA,5.8326519194768094e-05,1.0755508419155626,0.3694971782388874,0,2,Balanced / Moderate Risk
BAC,0.00018891192774499364,0.9785983446408053,0.2757176192271061,0,0,Defensive / Lower Risk
BALL,-0.00042599540908684884,0.9086442115434628,0.3321969664940198,0,2,Balanced / Moderate Risk
BAX,-0.0011708751339663882,0.5816844271215212,0.298554139255572,0,2,Balanced / Moderate Risk
BBY,0.00019796530744917843,1.0745372617215585,0.35633208464798827,0,2,Balanced / Moderate Risk
BDX,3.352574501338311e-05,0.49118782993183563,0.20817221588283408,0,0,Defensive / Lower Risk
BEN,-0.00026317179276449086,1.2154022535439981,0.320192525611334,0,2,Balanced / Moderate Risk
BF-B,-0.0006585139959971588,0.5896646903459353,0.25259434349554805,0,0,Defensive / Lower Risk
BG,2.1476439260339567e-05,0.5269503183194928,0.2911589279948865,0,0,Defensive / Lower Risk
BIIB,-0.00039858159200311375,0.8255386059604676,0.3512140075927356,0,2,Balanced / Moderate Risk
BK,0.0006146001287271619,0.9104868776486141,0.2508123321520526,0,0,Defensive / Lower Risk
BKNG,0.0011536655863405808,1.1334488549732866,0.32246979254954333,0,0,Defensive / Lower Risk
BKR,0.0009893584225114567,0.7135892424275067,0.34257680586396816,0,0,Defensive / Lower Risk
BLDR,0.0011354206089824136,1.5346368634892626,0.4585671942706465,1,1,Aggressive / Higher Risk
BLK,0.0004044233045633439,1.198911817291821,0.268608892495418,0,2,Balanced / Moderate Risk
BMY,0.00013712922635913122,0.28025106778205944,0.22964873162335836,0,0,Defensive / Lower Risk
BR,0.00047317999706506745,0.8762261829098322,0.23224756679484715,0,0,Defensive / Lower Risk
BRK-B,0.0006052247988126209,0.7043738346423276,0.17379274785783463,0,0,Defensive / Lower Risk
BRO,0.000670836131013721,0.8337113041377782,0.24472322266621085,0,0,Defensive / Lower Risk
BSX,0.0010626845493819062,0.6814709960362805,0.21757950603400683,0,0,Defensive / Lower Risk
BX,0.0008764324450829089,1.7079904603958214,0.40557259919053795,1,1,Aggressive / Higher Risk
BXP,-0.00016519700039562064,1.055544971030078,0.35149515402153875,0,2,Balanced / Moderate Risk
C,0.0004668510782257791,1.0144681475034594,0.28559885194296963,0,0,Defensive / Lower Risk
CAG,-1.1674172030102568e-05,0.275950472177807,0.21843245029285543,0,0,Defensive / Lower Risk
CAH,0.0012929616030809266,0.42077532243346205,0.23446021558988583,0,0,Defensive / Lower Risk
CARR,0.0005949932867331543,1.1561975445091008,0.3074576996973422,0,2,Balanced / Moderate Risk
CASY,0.0010871268545882646,0.6039870951391594,0.26240322395860266,0,0,Defensive / Lower Risk
CAT,0.0009978139238196696,0.9143528386882165,0.29549005904475645,0,0,Defensive / Lower Risk
CB,0.0006311242804858728,0.5133798944407876,0.2028469166199352,0,0,Defensive / Lower Risk
CBOE,0.0007078448054289987,0.3041391113181483,0.21637407623243698,0,0,Defensive / Lower Risk
CBRE,0.0004313477135350739,1.132832432864753,0.3022201119703044,0,2,Balanced / Moderate Risk
CCI,-0.0007548957871710569,0.702764824317826,0.2697503978287529,0,2,Balanced / Moderate Risk
CCL,0.0008818873200278639,1.9626705030170293,0.5833741386793058,1,1,Aggressive / Higher Risk
CDNS,0.0008973810757218556,1.414492820144079,0.34827193722799565,1,2,Balanced / Moderate Risk
CDW,-1.6750142569875892e-05,1.04104209293627,0.2765075430922433,0,2,Balanced / Moderate Risk
CF,0.0006091718012493636,0.5147449143488143,0.37217090945961356,0,0,Defensive / Lower Risk
CFG,0.0002867360547137444,1.1519817613560381,0.3602602474392411,0,2,Balanced / Moderate Risk
CHD,0.00016728499415551628,0.29572973959801196,0.202945509907332,0,0,Defensive / Lower Risk
CHRW,0.00022586030412930302,0.6317134686600023,0.304742459863419,0,0,Defensive / Lower Risk
CHTR,-0.0005581267568904522,0.9235477018981848,0.37895223727867194,0,2,Balanced / Moderate Risk
CI,0.0004311516660542803,0.46914398771379906,0.2712962833440262,0,0,Defensive / Lower Risk
CIEN,0.00043414253390848046,1.2563597685057644,0.3989975074204705,1,2,Balanced / Moderate Risk
CINF,0.0005704411570305276,0.7496535017617989,0.27161666133497236,0,0,Defensive / Lower Risk
CL,0.0002506100082074125,0.3078110556696028,0.17371309595144044,0,0,Defensive / Lower Risk
CLX,0.00016594473294376553,0.37209317161954664,0.26149356626758036,0,0,Defensive / Lower Risk
CMCSA,-0.00015237620268223877,0.7624807809625456,0.2611987758494817,0,0,Defensive / Lower Risk
CME,0.00030576473016507026,0.3836887745015025,0.20204788912158397,0,0,Defensive / Lower Risk
CMG,0.0009824817215372975,1.092849408777952,0.32879706483572557,0,0,Defensive / Lower Risk
CMI,0.0008488432007985855,0.8163172751027346,0.25585911204043765,0,0,Defensive / Lower Risk
CMS,0.00024452301553392404,0.3680930353794668,0.20011470620603145,0,0,Defensive / Lower Risk
CNC,-0.00023765918255835923,0.5096291979341634,0.29680092787145174,0,0,Defensive / Lower Risk
CNP,0.00037749672150610714,0.5060655571290102,0.21007027505147866,0,0,Defensive / Lower Risk
COF,0.0005717203900207317,1.2916116589720286,0.35466307726531476,1,2,Balanced / Moderate Risk
COHR,0.0010117203492947067,1.7614523562461406,0.5643306367164236,1,1,Aggressive / Higher Risk
COIN,0.0017681318466786122,2.9609591653634406,0.9538475500092551,2,1,Aggressive / Higher Risk
COO,-2.9926798863364207e-05,0.9436414591818116,0.277865804838324,0,2,Balanced / Moderate Risk
COP,0.0007538569761221624,0.5907980714604532,0.32548504577510273,0,0,Defensive / Lower Risk
COR,0.0008199814145379001,0.3609130795482954,0.19505897850884163,0,0,Defensive / Lower Risk
COST,0.0008096629411018122,0.8835417903950412,0.23872850520511368,0,0,Defensive / Lower Risk
CPAY,0.0006787937106698338,1.0859628108169737,0.2940685443168739,0,0,Defensive / Lower Risk
